Entity,Code,Year,"Meat, total | 00001765 || Production | 005510 || tonnes",time
Brazil,BRA,2022,30396742,2022
China,CHN,2022,93428560,2022
India,IND,2022,12402631,2022
Russia,RUS,2022,12244950,2022
United States,USA,2022,47753744,2022
